SOC,Temp,R_Ch(T=283.15),R_Ch(T=298.15),R_Ch(T=313.15),R_Ch(T=333.15),R_DCh(T=283.15),R_DCh(298.15),R_DCh(313.15),R_DCh(333.15)
0.0,283.15,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998
0.01,298.15,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221
0.02,313.15,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034
0.03,333.15,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002
0.04,,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537
0.05,,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581
0.06,,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997
0.07,,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341
0.08,,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014
0.09,,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385
0.1,,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954
0.11,,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998
0.12,,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672
0.13,,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818
0.14,,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021
0.15,,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519
0.16,,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796
0.17,,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998
0.18,,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151
0.19,,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571
0.2,,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863
0.21,,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999
0.22,,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001
0.23,,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198
0.24,,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657
0.25,,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259
0.26,,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344
0.27,,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745
0.28,,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224
0.29,,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001
0.3,,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525
0.31,,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599
0.32,,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619
0.33,,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789
0.34,,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245
0.35,,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999
